tx,minute,value,account,side,type,token
8f5f974b8f924f0a238db9ade17c5b87b29a7529c4ff34e54478174ddc1f80b0,02/18/20 23:49,224.74,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
3dd996480e28a303fc241b6250ebed6b0433fcd0d76520aacce8de0e3d42ad0e,02/18/20 23:50,184.64,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
1ed25db2c3b21fac81ae074d7d9889bb4aec8ee669a2dc8eb8b9ead10c07e9f6,02/18/20 23:51,154.40,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
d40bf60f34a6a47f1e0c675b610e8608f3cb2678dcbe25ca9347e4eb90694f95,02/18/20 23:52,349.10,9e68b67660c223b3e0634d851f5df821e0e17d84,sell,put,ocDAI
b8c847662f27c6dbb48cef857af9023a32fb43c837c7e0cf1445c9616821e61b,02/18/20 23:52,153.04,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
cad12c902074fad0733d7b210f1ded2982b1d80deb21db7e3c6e3ba640801380,02/18/20 23:52,131.03,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
b02a102a996aa3007174d1d754a7f9c85532f0332c655ad40f75d498a6eac96c,02/18/20 23:56,943.09,9e68b67660c223b3e0634d851f5df821e0e17d84,sell,put,ocDAI
d94e44f01c215751a038058a8d844ccf517f00b35d5ae3e7e94a161e3f2a695e,02/18/20 23:59,1228.74,076c95c6cd2eb823acc6347fdf5b3dd9b83511e4,sell,put,ocDAI
2f7f50e423c38bd79831d2f4e88e58a82ceeab679de958b452cbda81a36a6500,02/19/20 0:14,768.14,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
06a5178af075abfadcd9efbca52c7c150f1e171415e2245d27937fe30726cd2f,02/19/20 0:16,428.00,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
bb53f6ac4ae2f0d12c2e96f2a734ad7d7d36df8cc91a582fe861833dba3a4164,02/19/20 0:16,272.88,d986005d25bfdb3fd216e58f5b9a09677832e6cd,buy,put,ocDAI
