address,collateral,collateral_token,collateral_value_current,issued,notional_value,ratio,oToken,oToken_group,expired
0x5058…8620,8,USDC,8,2000,200,1,ETH Call $250 05/29/20,oETH,0
0xf577…e969,5,USDC,5,1250,125,1,ETH Call $250 05/29/20,oETH,0
0x000a…5a8e,1,USDC,1,250,25,1,ETH Call $250 05/29/20,oETH,0
0x2a4e…f008,1,USDC,1,250,25,1,ETH Call $250 05/29/20,oETH,0
0xb3d8…30cf,1,USDC,1,250,25,1,ETH Call $250 05/29/20,oETH,0
0xbb1e…cc4c,1,USDC,1,250,25,1,ETH Call $250 05/29/20,oETH,0
0x9757…463a,0.8,USDC,0.8,200,20,1,ETH Call $250 05/29/20,oETH,0
0x61f6…8d48,0.1,USDC,0.1,25,2.5,1,ETH Call $250 05/29/20,oETH,0
0xe4ee…cee9,0.085,USDC,0.085,21.25,2.125,1,ETH Call $250 05/29/20,oETH,0
0x47db…c958,0.05,USDC,0.05,12.5,1.25,1,ETH Call $250 05/29/20,oETH,0
0xeb91…355a,0.005,USDC,0.005,1.25,0.125,1,ETH Call $250 05/29/20,oETH,0
0x0c31…5fd6,1.5,USDC,1.5,0,0,Infinity,ETH Call $250 05/29/20,oETH,0
0x5699…7ec2,0.001,USDC,0.001,0,0,Infinity,ETH Call $250 05/29/20,oETH,0
0xc175…188a,0.0005,USDC,0.0005,0,0,Infinity,ETH Call $250 05/29/20,oETH,0
0x076c…11e4,67499.32419,USDC,67499.32419,449.995495,67499.32425,1,ETH Put $150 05/29/20,oETH,0
0xa6a8…ad13,50017.2209,USDC,50017.2209,333.448139,50017.22085,1,ETH Put $150 05/29/20,oETH,0
0x01bd…a0f2,40000,USDC,40000,266.666667,40000.00005,1,ETH Put $150 05/29/20,oETH,0
0x19ee…3297,23000,USDC,23000,153.333333,22999.99995,1,ETH Put $150 05/29/20,oETH,0
0x13dc…a111,12660,USDC,12660,84.4,12660,1,ETH Put $150 05/29/20,oETH,0
0x9e1e…b0dc,10000,USDC,10000,66.666667,10000.00005,1,ETH Put $150 05/29/20,oETH,0
0xc5df…8811,10000,USDC,10000,66.666667,10000.00005,1,ETH Put $150 05/29/20,oETH,0
0x0c31…5fd6,9000,USDC,9000,60,9000,1,ETH Put $150 05/29/20,oETH,0
0x2700…811f,7500,USDC,7500,50,7500,1,ETH Put $150 05/29/20,oETH,0
0x6cfa…0f04,7500,USDC,7500,50,7500,1,ETH Put $150 05/29/20,oETH,0
0x5c57…a8f6,4468.054332,USDC,4468.054332,29.787029,4468.05435,1,ETH Put $150 05/29/20,oETH,0
0xd8a1…c66c,3581.402674,USDC,3581.402674,23.876018,3581.4027,1,ETH Put $150 05/29/20,oETH,0
0x63dd…53df,3000,USDC,3000,20,3000,1,ETH Put $150 05/29/20,oETH,0
0xbc15…dbf3,1700,USDC,1700,11.333333,1699.99995,1,ETH Put $150 05/29/20,oETH,0
0x404d…4062,1500,USDC,1500,10,1500,1,ETH Put $150 05/29/20,oETH,0
0x9700…bf51,1500,USDC,1500,10,1500,1,ETH Put $150 05/29/20,oETH,0
0x3483…7eaf,1009.725939,USDC,1009.725939,6.731506,1009.7259,1,ETH Put $150 05/29/20,oETH,0
0x2760…10da,990,USDC,990,6.6,990,1,ETH Put $150 05/29/20,oETH,0
0x8453…2e61,972.65,USDC,972.65,6.484333,972.64995,1,ETH Put $150 05/29/20,oETH,0
0x6331…8cca,700,USDC,700,4.666667,700.00005,1,ETH Put $150 05/29/20,oETH,0
0x0e0a…9dca,646.904833,USDC,646.904833,4.312699,646.90485,1,ETH Put $150 05/29/20,oETH,0
0x520c…21b0,500,USDC,500,3.333333,499.99995,1,ETH Put $150 05/29/20,oETH,0
0xf46a…bfd7,450,USDC,450,3,450,1,ETH Put $150 05/29/20,oETH,0
0x513d…05fa,300,USDC,300,2,300,1,ETH Put $150 05/29/20,oETH,0
0x45b4…d41e,150,USDC,150,1,150,1,ETH Put $150 05/29/20,oETH,0
0x97e7…ea87,142,USDC,142,0.946667,142.00005,1,ETH Put $150 05/29/20,oETH,0
0xe3b1…f646,100,USDC,100,0.666667,100.00005,1,ETH Put $150 05/29/20,oETH,0
0xe4ee…cee9,100,USDC,100,0.56666,84.999,1.17648,ETH Put $150 05/29/20,oETH,0
0x4259…91fa,51.098,USDC,51.098,0.340653,51.09795,1,ETH Put $150 05/29/20,oETH,0
0xdddc…6b16,28.443218,USDC,28.443218,0.189621,28.44315,1,ETH Put $150 05/29/20,oETH,0
0x4d99…ccc1,20,USDC,20,0.133333,19.99995,1,ETH Put $150 05/29/20,oETH,0
0x8c8b…704c,2.5,USDC,2.5,0.016667,2.50005,1,ETH Put $150 05/29/20,oETH,0
0x3111…faca,2.41,USDC,2.41,0.016067,2.41005,1,ETH Put $150 05/29/20,oETH,0
0xff07…5e51,50000,USDC,50000,250,50000,1,ETH Put $200 05/15/20,oETH,0
0x5058…8620,6531.948939,USDC,6531.948939,32.659745,6531.949,1,ETH Put $200 05/15/20,oETH,0
0xeee6…d40d,4624.440084,USDC,4624.440084,23.1222,4624.44,1,ETH Put $200 05/15/20,oETH,0
0xbb1e…cc4c,1200,USDC,1200,6,1200,1,ETH Put $200 05/15/20,oETH,0
0xb8c0…f989,1000.175666,USDC,1000.175666,5.000878,1000.1756,1,ETH Put $200 05/15/20,oETH,0
0x0c31…5fd6,1000,USDC,1000,5,1000,1,ETH Put $200 05/15/20,oETH,0
0xd8a1…c66c,942.222297,USDC,942.222297,4.711111,942.2222,1,ETH Put $200 05/15/20,oETH,0
0x9d3f…7908,99.756466,USDC,99.756466,0.498782,99.7564,1,ETH Put $200 05/15/20,oETH,0
0x20f9…bc3f,83.308731,USDC,83.308731,0.416544,83.3088,1,ETH Put $200 05/15/20,oETH,0
0x33f7…c452,66.39,USDC,66.39,0.33195,66.39,1,ETH Put $200 05/15/20,oETH,0
0x75b3…b236,26,USDC,26,0.13,26,1,ETH Put $200 05/15/20,oETH,0
0xec43…1215,100963,USDC,100963,504.815,100963,1,ETH Put $200 05/08/20,oETH,0
0x5058…8620,100806.7018,USDC,100806.7018,504.033509,100806.7018,1,ETH Put $200 05/08/20,oETH,0
0xff07…5e51,100000,USDC,100000,500,100000,1,ETH Put $200 05/08/20,oETH,0
0x076c…11e4,92080.71368,USDC,92080.71368,460.403568,92080.7136,1,ETH Put $200 05/08/20,oETH,0
0xd4be…2364,72323.89536,USDC,72323.89536,361.619477,72323.8954,,ETH Put $200 05/08/20,oETH,0
0x1bcf…76ec,20000,USDC,20000,100,20000,1,ETH Put $200 05/08/20,oETH,0
0x19ee…3297,10000,USDC,10000,50,10000,1,ETH Put $200 05/08/20,oETH,0
0x3e55…9fcd,10000,USDC,10000,50,10000,1,ETH Put $200 05/08/20,oETH,0
0xc78c…2379,8700,USDC,8700,43.5,8700,1,ETH Put $200 05/08/20,oETH,0
0x7dea…e9fd,7107.06982,USDC,7107.06982,35.535349,7107.0698,1,ETH Put $200 05/08/20,oETH,0
0x9757…463a,5450,USDC,5450,27.25,5450,1,ETH Put $200 05/08/20,oETH,0
0x0c31…5fd6,5000,USDC,5000,25,5000,1,ETH Put $200 05/08/20,oETH,0
0x2a4e…f008,5000,USDC,5000,25,5000,1,ETH Put $200 05/08/20,oETH,0
0x8453…2e61,4600,USDC,4600,23,4600,1,ETH Put $200 05/08/20,oETH,0
0x0a33…efde,4534.986262,USDC,4534.986262,22.674931,4534.9862,1,ETH Put $200 05/08/20,oETH,0
0xa6e3…54f3,3857.441434,USDC,3857.441434,19.287207,3857.4414,1,ETH Put $200 05/08/20,oETH,0
0x5c57…a8f6,2000,USDC,2000,10,2000,1,ETH Put $200 05/08/20,oETH,0
0x61b0…f72b,1864.461953,USDC,1864.461953,9.32231,1864.462,1,ETH Put $200 05/08/20,oETH,0
0x0a39…3134,1600,USDC,1600,8,1600,1,ETH Put $200 05/08/20,oETH,0
0x4c69…a8e5,1500,USDC,1500,7.5,1500,1,ETH Put $200 05/08/20,oETH,0
0x3d8e…bc0e,1380,USDC,1380,6.9,1380,1,ETH Put $200 05/08/20,oETH,0
0x9709…12e3,1231,USDC,1231,6.155,1231,1,ETH Put $200 05/08/20,oETH,0
0x54f1…57c9,1062,USDC,1062,5.31,1062,1,ETH Put $200 05/08/20,oETH,0
0x102e…9850,1000,USDC,1000,5,1000,1,ETH Put $200 05/08/20,oETH,0
0x9700…bf51,1000,USDC,1000,5,1000,1,ETH Put $200 05/08/20,oETH,0
0xd306…76c7,1000,USDC,1000,5,1000,1,ETH Put $200 05/08/20,oETH,0
0x62e1…5208,905,USDC,905,4.525,905,1,ETH Put $200 05/08/20,oETH,0
0x520c…21b0,800,USDC,800,4,800,1,ETH Put $200 05/08/20,oETH,0
0xa5cd…49c7,800,USDC,800,4,800,1,ETH Put $200 05/08/20,oETH,0
0xb631…9a2a,403,USDC,403,2.015,403,1,ETH Put $200 05/08/20,oETH,0
0xa901…12a8,392.439093,USDC,392.439093,1.962195,392.439,1,ETH Put $200 05/08/20,oETH,0
0x24dd…ea95,300,USDC,300,1.5,300,1,ETH Put $200 05/08/20,oETH,0
0x0ba9…edb0,204.299923,USDC,204.299923,1.0215,204.3,1,ETH Put $200 05/08/20,oETH,0
0xd8a1…c66c,157.19,USDC,157.19,0.78595,157.19,1,ETH Put $200 05/08/20,oETH,0
0x0381…9ad4,129.165646,USDC,129.165646,0.645828,129.1656,1,ETH Put $200 05/08/20,oETH,0
0x97e7…ea87,110,USDC,110,0.55,110,1,ETH Put $200 05/08/20,oETH,0
0xdb10…eab1,80,USDC,80,0.4,80,1,ETH Put $200 05/08/20,oETH,0
0x33f7…c452,71.590802,USDC,71.590802,0.357954,71.5908,1,ETH Put $200 05/08/20,oETH,0
0x71ce…c214,68.881918,USDC,68.881918,0.344409,68.8818,1,ETH Put $200 05/08/20,oETH,0
0x8c8b…704c,12,USDC,12,0.06,12,1,ETH Put $200 05/08/20,oETH,0
0x68f9…49b6,10,USDC,10,0.05,10,1,ETH Put $200 05/08/20,oETH,0
0x75b3…b236,5,USDC,5,0.025,5,1,ETH Put $200 05/08/20,oETH,0
0x91f7…a0c9,1,USDC,1,0.005,1,1,ETH Put $200 05/08/20,oETH,0
0x9e68…7d84,1,USDC,1,0.005,1,1,ETH Put $200 05/08/20,oETH,0
0xec43…1215,80000,USDC,80000,500,80000,1,ETH Put $160 05/08/20,oETH,0
0x0c31…5fd6,40000,USDC,40000,250,40000,1,ETH Put $160 05/08/20,oETH,0
0x076c…11e4,31042.09091,USDC,31042.09091,194.013068,31042.09088,1,ETH Put $160 05/08/20,oETH,0
0xa6a8…ad13,23652.45498,USDC,23652.45498,147.827844,23652.45504,1,ETH Put $160 05/08/20,oETH,0
0x3e55…9fcd,20000,USDC,20000,125,20000,1,ETH Put $160 05/08/20,oETH,0
0x33b4…6eed,16630,USDC,16630,103.9375,16630,1,ETH Put $160 05/08/20,oETH,0
0x2700…811f,15000,USDC,15000,93.75,15000,1,ETH Put $160 05/08/20,oETH,0
0x280b…057c,13473.19202,USDC,13473.19202,84.20745,13473.192,1,ETH Put $160 05/08/20,oETH,0
0x01bd…a0f2,10000,USDC,10000,62.5,10000,1,ETH Put $160 05/08/20,oETH,0
0x19ee…3297,10000,USDC,10000,62.5,10000,1,ETH Put $160 05/08/20,oETH,0
0x2a4e…f008,9280,USDC,9280,58,9280,1,ETH Put $160 05/08/20,oETH,0
0x6cfa…0f04,7000,USDC,7000,43.75,7000,1,ETH Put $160 05/08/20,oETH,0
0x7dea…e9fd,6206.666879,USDC,6206.666879,38.791668,6206.66688,1,ETH Put $160 05/08/20,oETH,0
0x40e6…efde,5000,USDC,5000,31.25,5000,1,ETH Put $160 05/08/20,oETH,0
0xda1e…7c74,5000,USDC,5000,31.25,5000,1,ETH Put $160 05/08/20,oETH,0
0x000a…5a8e,3580,USDC,3580,22.375,3580,1,ETH Put $160 05/08/20,oETH,0
0x7f5e…f3f4,3000,USDC,3000,18.75,3000,1,ETH Put $160 05/08/20,oETH,0
0xda4e…ddb6,2957,USDC,2957,18.48125,2957,1,ETH Put $160 05/08/20,oETH,0
0xa5cd…49c7,2563.700183,USDC,2563.700183,16.023126,2563.70016,1,ETH Put $160 05/08/20,oETH,0
0x280a…1d5a,2160.461243,USDC,2160.461243,13.502236,2160.35776,1.00005,ETH Put $160 05/08/20,oETH,0
0xa901…12a8,1747.972464,USDC,1747.972464,10.924828,1747.97248,1,ETH Put $160 05/08/20,oETH,0
